generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
48,phase_cross,0.4945029437396982,-0.6321712933467466,0.5,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.3902529761904762,0.9520089285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,phase_cross,0.5842138535777377,-0.6492040295778018,0.5074626865671642,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.38058035714285715,0.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,phase_cross,0.46665150445755194,-0.6140757197337515,0.44,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5892857142857143,0.390625,0.9676339285714285,0.0,0.0,0.0,0.0,0.0,0.00964285714285711,0.0,1.0,0.625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,phase_transition,-0.40941888778261715,-1.0170463512403947,0.10204081632653061,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.2,0.1825,2.0616666666666665,0.0,0.0,0.0,0.0,0.12,0.09000000000000001,0.0,1.0,0.9166666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,phase_transition,-0.6067381193745083,-0.977525834140656,0.061224489795918366,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.12,0.13333333333333333,1.54,0.0,0.0,0.0,0.0,0.168,0.12600000000000003,0.0,1.0,0.9583333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,phase_transition,-0.38408263374868745,-0.9353195308628912,0.2727272727272727,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.15583333333333335,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,phase_transition,-0.4590443476929015,-0.9199322500052743,0.24615384615384617,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.64,0.19416666666666668,1.6383333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,phase_transition,-0.3154278948438977,-0.9161665431019359,0.29545454545454547,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.52,0.24250000000000002,1.5591666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,phase_transition,-0.459637598211585,-0.9126362686701834,0.25925925925925924,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.56,0.23,1.5091666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,phase_transition,-0.20294222041706933,-0.8958185857631937,0.25,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.44,0.25833333333333336,1.3074999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
